"CustomerID","CLVSegment","Gender","Age","ResBiz","Optout","CreditStatus","SalesChannel","ContractDuration","ContractEndMonths","ZipDemographHouseOther","ZipDemographHouseRenter","ZipDemographHouseOwner","ZipDemographAvgAge","AvgCallsIn","AvgTxtsIn","AvgCallsOut","ZipCode","ReferenceModel","Churn"
"CE-2334791","LARGE","M",25,"N","N","N","THIRD PARTY SALES CHANNEL",,3,1,37,62,49.5,210,30.33333333,395,"89107",0.2333016808669,"Y"
"CE-4374827","SMALL","F",25,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,1,45,54,44.4,44.66666667,0,106.3333333,"30694",0.54028873891768,"Y"
"CE-5126719","LARGE","M",23,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,0,0,100,48.1,65.66666667,0,104.3333333,"43664",0.115220253454837,"Yes"
"CE-2874904","LARGE","F",22,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,0,83,17,44.1,33.66666667,31,46.33333333,"29840",0.626135897629857,"No"
"CE-2090451","LARGE","F",31,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,1,23,76,51.8,38.66666667,15.33333333,88.33333333,"09413",0.660848375003053,"No"
"CE-1665241","SMALL","F",22,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,1,22,77,44.1,43.66666667,2.333333333,56,"39972",0.145888580314472,"Yes"
"CE-6090680","SMALL","M",30,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,1,40,59,44.4,33,0.333333333,50.33333333,"13194",0.14691221061778,"N"
"CE-8498734","LARGE","M",25,"N","Y","Y","THIRD PARTY SALES CHANNEL",,3,0,0,100,50.4,70,21,64.66666667,"43073",0.0102464425635266,"N"
"CE-8739032","MEDIUM","M",21,"N","N","N","THIRD PARTY SALES CHANNEL",,3,0,0,100,51.2,24.33333333,10.66666667,50.66666667,"43225",0.5694512595005,"Yes"
"CE-2188979","SMALL","M",34,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,0,35,65,46.8,9,5.333333333,21,"37482",0.218090751794557,"No"
"CE-1653714","SMALL","M",46,"N","N","N","THIRD PARTY SALES CHANNEL",12,3,1,29,70,47.5,39.33333333,0.333333333,54.33333333,"24272",0.0100555041807915,"No"
