"pyBinResponseCountPercentage","pyContents","pyZRatio","pyModelID","pyRelativePositives","pyBinType","pyRelativeResponseCount","pyBinSymbol","pyPredictorName","pyBinPositivesPercentage","pyBinNegatives","pyBinNegativesPercentage","pyRelativeBinPositives","pyType","pyBinLowerBound","pyPerformance","pyPerformanceError","pyResponseCount","pyBinIndex","pyLift","pyBinUpperBound","pySnapshotTime","pxInsName","pyRelativeBinResponseCount","pyTotalBins","pxSaveDateTime","pyNegatives","pyPositives","pyEntryType","pyGroupIndex","pzInsKey","pyBinPositives","pyRelativeBinNegatives","pyRelativeNegatives","pyBinResponseCount","pxCommitDateTime"
14.38,"Range : [19.0, 63.0]",15.603226,"1c77d5bd-3d6b-5326-a4e1-fcdfdb9ff4b9",0,"EQUIBEHAVIOR",0,"<24.12","Age",21.98,78,4.98,0,"numeric","-9.0","0.880122",3e-05,3504,1,1.528232,"24.12","20190923T095858.060 GMT","1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!1",0,13,"20190923T095923.029 GMT","1566.000000","1938.000000","Active","8","DATA-DECISION-ADM-PREDICTORBINNINGSNAPSHOT 1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!1",426,0,0,504,"20190923T095923.063 GMT"
5.91,"Range : [19.0, 63.0]",-8.197848,"1c77d5bd-3d6b-5326-a4e1-fcdfdb9ff4b9",0,"EQUIBEHAVIOR",0,"[49.08, 54.04>","Age",2.84,152,9.71,0,"numeric","49.08","0.880122",3e-05,3504,10,0.4804,"54.04","20190923T095858.060 GMT","1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!10",0,13,"20190923T095923.031 GMT","1566.000000","1938.000000","Active","8","DATA-DECISION-ADM-PREDICTORBINNINGSNAPSHOT 1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!10",55,0,0,207,"20190923T095923.063 GMT"
11.13,"Range : [19.0, 63.0]",-14.823922,"1c77d5bd-3d6b-5326-a4e1-fcdfdb9ff4b9",0,"EQUIBEHAVIOR",0,"[54.04, 59.16>","Age",3.82,316,20.18,0,"numeric","54.04","0.880122",3e-05,3504,11,0.343066,"59.16","20190923T095858.060 GMT","1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!11",0,13,"20190923T095923.032 GMT","1566.000000","1938.000000","Active","8","DATA-DECISION-ADM-PREDICTORBINNINGSNAPSHOT 1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!11",74,0,0,390,"20190923T095923.063 GMT"
5.39,"Range : [19.0, 63.0]",14.471478,"1c77d5bd-3d6b-5326-a4e1-fcdfdb9ff4b9",0,"EQUIBEHAVIOR",0,"[59.16, 61.08>","Age",9.75,0,0,0,"numeric","59.16","0.880122",3e-05,3504,12,1.80805,"61.08","20190923T095858.060 GMT","1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!12",0,13,"20190923T095923.032 GMT","1566.000000","1938.000000","Active","8","DATA-DECISION-ADM-PREDICTORBINNINGSNAPSHOT 1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!12",189,0,0,189,"20190923T095923.063 GMT"
5.22,"Range : [19.0, 63.0]",-12.335086,"1c77d5bd-3d6b-5326-a4e1-fcdfdb9ff4b9",0,"EQUIBEHAVIOR",0,">=61.08","Age",0.77,168,10.73,0,"numeric","61.08","0.880122",3e-05,3504,13,0.148201,"119.0","20190923T095858.060 GMT","1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!13",0,13,"20190923T095923.032 GMT","1566.000000","1938.000000","Active","8","DATA-DECISION-ADM-PREDICTORBINNINGSNAPSHOT 1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!13",15,0,0,183,"20190923T095923.063 GMT"
10.45,"Range : [19.0, 63.0]",-4.735472,"1c77d5bd-3d6b-5326-a4e1-fcdfdb9ff4b9",0,"EQUIBEHAVIOR",0,"[24.12, 27.16>","Age",8.2,207,13.22,0,"numeric","24.12","0.880122",3e-05,3504,2,0.785464,"27.16","20190923T095858.060 GMT","1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!2",0,13,"20190923T095923.029 GMT","1566.000000","1938.000000","Active","8","DATA-DECISION-ADM-PREDICTORBINNINGSNAPSHOT 1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!2",159,0,0,366,"20190923T095923.063 GMT"
6.51,"Range : [19.0, 63.0]",-5.232557,"1c77d5bd-3d6b-5326-a4e1-fcdfdb9ff4b9",0,"EQUIBEHAVIOR",0,"[27.16, 31.16>","Age",4.49,141,9,0,"numeric","27.16","0.880122",3e-05,3504,3,0.689914,"31.16","20190923T095858.060 GMT","1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!3",0,13,"20190923T095923.029 GMT","1566.000000","1938.000000","Active","8","DATA-DECISION-ADM-PREDICTORBINNINGSNAPSHOT 1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!3",87,0,0,228,"20190923T095923.063 GMT"
6.08,"Range : [19.0, 63.0]",15.469353,"1c77d5bd-3d6b-5326-a4e1-fcdfdb9ff4b9",0,"EQUIBEHAVIOR",0,"[31.16, 35.16>","Age",10.99,0,0,0,"numeric","31.16","0.880122",3e-05,3504,4,1.80805,"35.16","20190923T095858.060 GMT","1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!4",0,13,"20190923T095923.030 GMT","1566.000000","1938.000000","Active","8","DATA-DECISION-ADM-PREDICTORBINNINGSNAPSHOT 1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!4",213,0,0,213,"20190923T095923.063 GMT"
6.34,"Range : [19.0, 63.0]",-5.778584,"1c77d5bd-3d6b-5326-a4e1-fcdfdb9ff4b9",0,"EQUIBEHAVIOR",0,"[35.16, 37.08>","Age",4.13,142,9.07,0,"numeric","35.16","0.880122",3e-05,3504,5,0.651549,"37.08","20190923T095858.060 GMT","1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!5",0,13,"20190923T095923.030 GMT","1566.000000","1938.000000","Active","8","DATA-DECISION-ADM-PREDICTORBINNINGSNAPSHOT 1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!5",80,0,0,222,"20190923T095923.063 GMT"
7.02,"Range : [19.0, 63.0]",1.06322,"1c77d5bd-3d6b-5326-a4e1-fcdfdb9ff4b9",0,"EQUIBEHAVIOR",0,"[37.08, 39.16>","Age",7.43,102,6.51,0,"numeric","37.08","0.880122",3e-05,3504,6,1.05837,"39.16","20190923T095858.060 GMT","1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!6",0,13,"20190923T095923.030 GMT","1566.000000","1938.000000","Active","8","DATA-DECISION-ADM-PREDICTORBINNINGSNAPSHOT 1C77D5BD-3D6B-5326-A4E1-FCDFDB9FF4B9!20190923T095858.060 GMT!AGE!6",144,0,0,246,"20190923T095923.063 GMT"
