"pxobjclass","pyappliestoclass","pysnapshottime","pymodelid","pxinsname","pxsavedatetime","pyrelativepositives","pynegatives","pyrelativeresponsecount","pyactivepredictors","pypositives","pzinskey","pytotalpredictors","pxapplication","pyperformance","pyconfigurationname","pyresponsecount","pyrelativenegatives","pyname","pxcommitdatetime","pygroup","pyissue"
"Data-Decision-ADM-ModelSnapshot","Exam-PMDSM-Data-Customer","20180316T134232.265 GMT","03053052-28c8-5af8-901e-87e857979b3c","03053052-28C8-5AF8-901E-87E857979B3C!20180316T134232.265 GMT!PMDSM","20180316T134239.225 GMT",31642,50134,81776,13,31642,"DATA-DECISION-ADM-MODELSNAPSHOT 03053052-28C8-5AF8-901E-87E857979B3C!20180316T134232.265 GMT!PMDSM",40,"PMDSM",0.630013,"BannerModel",81776,50134,"BOFFERSUM","20180316T134239.680 GMT",NA,NA
"Data-Decision-ADM-ModelSnapshot","Exam-PMDSM-Data-Customer","20180316T134939.916 GMT","03053052-28c8-5af8-901e-87e857979b3c","03053052-28C8-5AF8-901E-87E857979B3C!20180316T134939.916 GMT!PMDSM","20180316T134944.247 GMT",39802,65157,104959,14,39802,"DATA-DECISION-ADM-MODELSNAPSHOT 03053052-28C8-5AF8-901E-87E857979B3C!20180316T134939.916 GMT!PMDSM",40,"PMDSM",0.632808,"BannerModel",104959,65157,"BOFFERSUM","20180316T134944.256 GMT",NA,NA
"Data-Decision-ADM-ModelSnapshot","Exam-PMDSM-Data-Customer","20180316T134232.265 GMT","0e5e83b4-6313-5fb2-8947-5e83e37437e9","0E5E83B4-6313-5FB2-8947-5E83E37437E9!20180316T134232.265 GMT!PMDSM","20180316T134239.881 GMT",36829,83262,120091,9,36829,"DATA-DECISION-ADM-MODELSNAPSHOT 0E5E83B4-6313-5FB2-8947-5E83E37437E9!20180316T134232.265 GMT!PMDSM",40,"PMDSM",0.637436,"BannerModel",120091,83262,"BREFRL","20180316T134239.945 GMT",NA,NA
"Data-Decision-ADM-ModelSnapshot","Exam-PMDSM-Data-Customer","20180316T134939.916 GMT","0e5e83b4-6313-5fb2-8947-5e83e37437e9","0E5E83B4-6313-5FB2-8947-5E83E37437E9!20180316T134939.916 GMT!PMDSM","20180316T134944.108 GMT",42347,103478,145825,8,42347,"DATA-DECISION-ADM-MODELSNAPSHOT 0E5E83B4-6313-5FB2-8947-5E83E37437E9!20180316T134939.916 GMT!PMDSM",40,"PMDSM",0.643397,"BannerModel",145825,103478,"BREFRL","20180316T134944.256 GMT",NA,NA
"Data-Decision-ADM-ModelSnapshot","Exam-PMDSM-Data-Customer","20180316T134232.265 GMT","227dee9d-07d9-5965-84fe-06b1e676fc72","227DEE9D-07D9-5965-84FE-06B1E676FC72!20180316T134232.265 GMT!PMDSM","20180316T134239.673 GMT",18614,65002,83616,2,18614,"DATA-DECISION-ADM-MODELSNAPSHOT 227DEE9D-07D9-5965-84FE-06B1E676FC72!20180316T134232.265 GMT!PMDSM",40,"PMDSM",0.541326,"BannerModel",83616,65002,"BARB01","20180316T134239.680 GMT",NA,NA
"Data-Decision-ADM-ModelSnapshot","Exam-PMDSM-Data-Customer","20180316T134939.916 GMT","227dee9d-07d9-5965-84fe-06b1e676fc72","227DEE9D-07D9-5965-84FE-06B1E676FC72!20180316T134939.916 GMT!PMDSM","20180316T134943.875 GMT",30994,84714,115708,1,30994,"DATA-DECISION-ADM-MODELSNAPSHOT 227DEE9D-07D9-5965-84FE-06B1E676FC72!20180316T134939.916 GMT!PMDSM",40,"PMDSM",0.503621,"BannerModel",115708,84714,"BARB01","20180316T134944.037 GMT",NA,NA
"Data-Decision-ADM-ModelSnapshot","Exam-PMDSM-Data-Customer","20180316T134232.265 GMT","2f8746cd-c562-5343-b65e-b36908eee5b0","2F8746CD-C562-5343-B65E-B36908EEE5B0!20180316T134232.265 GMT!PMDSM","20180316T134240.013 GMT",7956,32856,40812,13,7956,"DATA-DECISION-ADM-MODELSNAPSHOT 2F8746CD-C562-5343-B65E-B36908EEE5B0!20180316T134232.265 GMT!PMDSM",40,"PMDSM",0.620597,"BannerModel",40812,32856,"BOFFERWIN","20180316T134240.214 GMT",NA,NA
"Data-Decision-ADM-ModelSnapshot","Exam-PMDSM-Data-Customer","20180316T134939.916 GMT","2f8746cd-c562-5343-b65e-b36908eee5b0","2F8746CD-C562-5343-B65E-B36908EEE5B0!20180316T134939.916 GMT!PMDSM","20180316T134943.990 GMT",10203,42541,52744,14,10203,"DATA-DECISION-ADM-MODELSNAPSHOT 2F8746CD-C562-5343-B65E-B36908EEE5B0!20180316T134939.916 GMT!PMDSM",40,"PMDSM",0.628935,"BannerModel",52744,42541,"BOFFERWIN","20180316T134944.037 GMT",NA,NA
"Data-Decision-ADM-ModelSnapshot","Exam-PMDSM-Data-Customer","20180316T134232.265 GMT","3ebd6a79-0b6e-59e8-9654-1e92fea31908","3EBD6A79-0B6E-59E8-9654-1E92FEA31908!20180316T134232.265 GMT!PMDSM","20180316T134240.314 GMT",96,183,279,2,96,"DATA-DECISION-ADM-MODELSNAPSHOT 3EBD6A79-0B6E-59E8-9654-1E92FEA31908!20180316T134232.265 GMT!PMDSM",2,"PMDSM",0.591075,"VerySimpleSalesModel",279,183,"PSDISCOUNT100","20180316T134240.416 GMT","Proactive","Sales"
"Data-Decision-ADM-ModelSnapshot","Exam-PMDSM-Data-Customer","20180316T134939.916 GMT","3ebd6a79-0b6e-59e8-9654-1e92fea31908","3EBD6A79-0B6E-59E8-9654-1E92FEA31908!20180316T134939.916 GMT!PMDSM","20180316T134944.165 GMT",213,322,535,2,213,"DATA-DECISION-ADM-MODELSNAPSHOT 3EBD6A79-0B6E-59E8-9654-1E92FEA31908!20180316T134939.916 GMT!PMDSM",2,"PMDSM",0.584121,"VerySimpleSalesModel",535,322,"PSDISCOUNT100","20180316T134944.256 GMT","Proactive","Sales"
"Data-Decision-ADM-ModelSnapshot","Exam-PMDSM-Data-Customer","20180316T134232.265 GMT","4d879cfe-4742-5c5e-8cc3-5924f8a3389f","4D879CFE-4742-5C5E-8CC3-5924F8A3389F!20180316T134232.265 GMT!PMDSM","20180316T134239.178 GMT",18329,8793,27122,2,18329,"DATA-DECISION-ADM-MODELSNAPSHOT 4D879CFE-4742-5C5E-8CC3-5924F8A3389F!20180316T134232.265 GMT!PMDSM",2,"PMDSM",0.540031,"VerySimpleSalesModel",27122,8793,"PSEOFFER","20180316T134239.680 GMT","Proactive","Sales"
"Data-Decision-ADM-ModelSnapshot","Exam-PMDSM-Data-Customer","20180316T134939.916 GMT","4d879cfe-4742-5c5e-8cc3-5924f8a3389f","4D879CFE-4742-5C5E-8CC3-5924F8A3389F!20180316T134939.916 GMT!PMDSM","20180316T134943.981 GMT",23344,11148,34492,1,23344,"DATA-DECISION-ADM-MODELSNAPSHOT 4D879CFE-4742-5C5E-8CC3-5924F8A3389F!20180316T134939.916 GMT!PMDSM",2,"PMDSM",0.535516,"VerySimpleSalesModel",34492,11148,"PSEOFFER","20180316T134944.037 GMT","Proactive","Sales"
"Data-Decision-ADM-ModelSnapshot","Exam-PMDSM-Data-Customer","20180316T134232.265 GMT","52197fc1-df34-5612-912d-7d8e7518e19b","52197FC1-DF34-5612-912D-7D8E7518E19B!20180316T134232.265 GMT!PMDSM","20180316T134240.407 GMT",92,170,262,2,92,"DATA-DECISION-ADM-MODELSNAPSHOT 52197FC1-DF34-5612-912D-7D8E7518E19B!20180316T134232.265 GMT!PMDSM",2,"PMDSM",0.571483,"VerySimpleSalesModel",262,170,"PSFAMDISCNT","20180316T134240.416 GMT","Proactive","Sales"
"Data-Decision-ADM-ModelSnapshot","Exam-PMDSM-Data-Customer","20180316T134939.916 GMT","52197fc1-df34-5612-912d-7d8e7518e19b","52197FC1-DF34-5612-912D-7D8E7518E19B!20180316T134939.916 GMT!PMDSM","20180316T134944.244 GMT",92,170,262,2,92,"DATA-DECISION-ADM-MODELSNAPSHOT 52197FC1-DF34-5612-912D-7D8E7518E19B!20180316T134939.916 GMT!PMDSM",2,"PMDSM",0.571483,"VerySimpleSalesModel",262,170,"PSFAMDISCNT","20180316T134944.256 GMT","Proactive","Sales"
"Data-Decision-ADM-ModelSnapshot","Exam-PMDSM-Data-Customer","20180316T134232.265 GMT","6ef0868a-be0e-5319-aa24-508723d27665","6EF0868A-BE0E-5319-AA24-508723D27665!20180316T134232.265 GMT!PMDSM","20180316T134239.825 GMT",2996,1692,4688,8,2996,"DATA-DECISION-ADM-MODELSNAPSHOT 6EF0868A-BE0E-5319-AA24-508723D27665!20180316T134232.265 GMT!PMDSM",40,"PMDSM",0.552444,"SalesModel",4688,1692,"PSEXTCONTR","20180316T134239.945 GMT","Proactive","Sales"
